model,solver,n_obj,steps
T=3 dt=1,Dopri5,4,8
T=3 dt=1,Dopri5,10,12
T=3 dt=1,Dopri5,5,11
T=3 dt=1,Dopri5,4,11
T=3 dt=1,Dopri5,7,15
T=3 dt=1,Dopri5,3,8
T=3 dt=1,Dopri5,5,12
T=3 dt=1,Dopri5,3,8
T=3 dt=1,Dopri5,7,11
T=3 dt=1,Dopri5,4,7
T=3 dt=1,Dopri5,7,13
T=3 dt=1,Dopri5,5,9
T=3 dt=1,Dopri5,9,14
T=3 dt=1,Dopri5,5,11
T=3 dt=1,Dopri5,4,10
T=3 dt=1,Dopri5,5,10
T=3 dt=1,Dopri5,6,6
T=3 dt=1,Dopri5,5,10
T=3 dt=1,Dopri5,3,7
T=3 dt=1,Dopri5,7,10
T=3 dt=1,Dopri5,8,9
T=3 dt=1,Dopri5,8,10
T=3 dt=1,Dopri5,4,8
T=3 dt=1,Dopri5,7,10
T=3 dt=1,Dopri5,5,12
T=3 dt=1,Dopri5,4,6
T=3 dt=1,Dopri5,4,13
T=3 dt=1,Dopri5,3,7
T=3 dt=1,Dopri5,5,8
T=3 dt=1,Dopri5,9,11
T=3 dt=1,Dopri5,6,12
T=3 dt=1,Dopri5,6,9
T=3 dt=1,Dopri5,9,15
T=3 dt=1,Dopri5,10,13
T=3 dt=1,Dopri5,9,11
T=3 dt=1,Dopri5,8,12
T=3 dt=1,Dopri5,5,9
T=3 dt=1,Dopri5,10,10
T=3 dt=1,Dopri5,4,10
T=3 dt=1,Dopri5,3,10
T=3 dt=1,Dopri5,5,10
T=3 dt=1,Dopri5,5,11
T=3 dt=1,Dopri5,3,9
T=3 dt=1,Dopri5,9,13
T=3 dt=1,Dopri5,8,10
T=3 dt=1,Dopri5,10,13
T=3 dt=1,Dopri5,9,12
T=3 dt=1,Dopri5,8,9
T=3 dt=1,Dopri5,8,9
T=3 dt=1,Dopri5,7,10
T=3 dt=1,Dopri5,7,12
T=3 dt=1,Dopri5,6,11
T=3 dt=1,Dopri5,5,11
T=3 dt=1,Dopri5,8,11
T=3 dt=1,Dopri5,7,14
T=3 dt=1,Dopri5,8,15
T=3 dt=1,Dopri5,8,13
T=3 dt=1,Dopri5,4,9
T=3 dt=1,Dopri5,8,15
T=3 dt=1,Dopri5,9,14
T=3 dt=1,Dopri5,4,10
T=3 dt=1,Dopri5,9,12
T=3 dt=1,Dopri5,4,8
T=3 dt=1,Dopri5,9,11
T=3 dt=1,Dopri5,8,14
T=3 dt=1,Dopri5,7,15
T=3 dt=1,Dopri5,3,6
T=3 dt=1,Dopri5,7,8
T=3 dt=1,Dopri5,8,11
T=3 dt=1,Dopri5,9,11
T=3 dt=1,Dopri5,7,10
T=3 dt=1,Dopri5,10,15
T=3 dt=1,Dopri5,6,12
T=3 dt=1,Dopri5,3,6
T=3 dt=1,Dopri5,6,7
T=3 dt=1,Dopri5,8,18
T=3 dt=1,Dopri5,7,12
T=3 dt=1,Dopri5,6,11
T=3 dt=1,Dopri5,9,13
T=3 dt=1,Dopri5,3,6
T=3 dt=1,Dopri5,10,12
T=3 dt=1,Dopri5,8,10
T=3 dt=1,Dopri5,7,12
T=3 dt=1,Dopri5,7,12
T=3 dt=1,Dopri5,4,9
T=3 dt=1,Dopri5,9,14
T=3 dt=1,Dopri5,6,7
T=3 dt=1,Dopri5,7,12
T=3 dt=1,Dopri5,7,7
T=3 dt=1,Dopri5,7,9
T=3 dt=1,Dopri5,5,13
T=3 dt=1,Dopri5,3,7
T=3 dt=1,Dopri5,3,7
T=3 dt=1,Dopri5,7,11
T=3 dt=1,Dopri5,9,16
T=3 dt=1,Dopri5,7,10
T=3 dt=1,Dopri5,10,12
T=3 dt=1,Dopri5,8,15
T=3 dt=1,Dopri5,7,9
T=3 dt=1,Dopri5,3,6
T=3 dt=1,Dopri5,7,14
T=3 dt=1,Dopri5,10,10
T=3 dt=1,Dopri5,4,10
T=3 dt=1,Dopri5,4,9
T=3 dt=1,Dopri5,3,6
T=3 dt=1,Dopri5,5,8
T=3 dt=1,Dopri5,9,14
T=3 dt=1,Dopri5,7,13
T=3 dt=1,Dopri5,6,10
T=3 dt=1,Dopri5,8,8
