model,solver,3,4,5,6,7,8,9,10,overall
T=3 dt=0.5,Dopri5,13.612903225806452,14.728813559322035,15.507246376811594,16.70967741935484,18.211267605633804,19.761904761904763,19.984615384615385,20.73469387755102,17.344
T=3 dt=0.5,Tsit5,15.32258064516129,16.779661016949152,17.492753623188406,18.983870967741936,21.12676056338028,22.77777777777778,23.615384615384617,24.632653061224488,20.002
T=3 dt=1,Dopri5,7.903225806451613,8.728813559322035,9.55072463768116,9.82258064516129,11.140845070422536,11.492063492063492,12.261538461538462,12.204081632653061,10.366
T=3 dt=1,Tsit5,8.983870967741936,10.11864406779661,11.710144927536232,12.53225806451613,13.591549295774648,15.253968253968255,15.107692307692307,14.755102040816327,12.74
T=4 dt=0.5,Dopri5,18.967741935483872,20.627118644067796,22.10144927536232,21.870967741935484,23.070422535211268,23.61904761904762,23.476923076923075,24.79591836734694,22.282
T=4 dt=0.5,Tsit5,21.35483870967742,22.83050847457627,24.463768115942027,24.612903225806452,25.887323943661972,25.53968253968254,27.06153846153846,27.448979591836736,24.872
T=4 dt=1,Dopri5,9.370967741935484,9.694915254237289,10.63768115942029,10.96774193548387,11.661971830985916,12.365079365079366,12.569230769230769,13.346938775510203,11.29
T=4 dt=1,Tsit5,10.709677419354838,11.305084745762711,12.73913043478261,12.919354838709678,14.633802816901408,15.746031746031745,15.76923076923077,16.591836734693878,13.76
T=5 dt=0.5,Dopri5,36.58064516129032,39.847457627118644,41.36231884057971,42.45161290322581,43.19718309859155,44.857142857142854,45.43076923076923,44.795918367346935,42.292
T=5 dt=0.5,Tsit5,38.75806451612903,40.983050847457626,43.43478260869565,44.0,46.87323943661972,47.98412698412698,48.30769230769231,48.53061224489796,44.83
T=5 dt=1,Dopri5,10.661290322580646,11.440677966101696,11.797101449275363,12.419354838709678,12.704225352112676,13.952380952380953,14.4,15.040816326530612,12.748
T=5 dt=1,Tsit5,11.85483870967742,12.847457627118644,13.81159420289855,14.258064516129032,15.352112676056338,16.428571428571427,16.892307692307693,18.3265306122449,14.902
T=6 dt=0.5,Dopri5,35.32258064516129,36.94915254237288,39.43478260869565,37.903225806451616,40.36619718309859,40.38095238095238,40.13846153846154,38.93877551020408,38.736
T=6 dt=0.5,Tsit5,36.0,37.40677966101695,40.43478260869565,40.935483870967744,42.04225352112676,41.58730158730159,41.93846153846154,42.3469387755102,40.346
T=6 dt=1,Dopri5,14.193548387096774,15.203389830508474,15.72463768115942,17.274193548387096,18.95774647887324,20.03174603174603,20.307692307692307,21.183673469387756,17.798
T=6 dt=1,Tsit5,16.129032258064516,17.16949152542373,17.91304347826087,19.56451612903226,21.6056338028169,22.857142857142858,23.93846153846154,24.387755102040817,20.374
